English,Hindi
"The petitioner participated in the disciplinary proceedings which culminated in an order dated 13th May, 1985 of dismissal of the petitioner from service.","याची ने अनुशासनात्मक कार्यवाहियों में भाग लिया, जिनका याची की सेवा से बर्खास्तगी का १३ मई, १९८५, दिनांकित आदेश पारित होने से समापन हुआ."
Something that is related to architecture.,वास्तुकला से संबंधित।
The seats in the restaurant are in a row.,रेस्तरां में सीटें पंक्तिबद्ध हैं।
The activity involved in providing attention and treatment towards someone or something.,किसी व्यक्ति या वस्तु की देखभाल या उपचार करने का क्रियाकलाप
"Group (Group) The group the server runs under. Normally this must be sys, however you can configure things for another group as needed. ex: sys","Do not translate the keyword between brackets (e. g. ServerName, ServerAdmin, etc.)"
And then we square this term.,और फिर हम इस शब्द का वर्ग।
By no means! surely he offers opposition to Our communications.,ये हरगिज़ न होगा ये तो मेरी आयतों का दुश्मन था
Registration Certificate from the Director General of Shipping,मुख्य निदेशक नौपरिवहन से रजिस्ट्रेशन प्रमाणपत्र।
"They had persisted, as Pandit Nehru and Sardar 's letters exchanged after Gandhiji' s death would show, throughout their association in the Congress.","ये मतभेद कांग्रेस में दोनों के साहचर्य काल में सदा ही बने रहे थे, जैसा कि गांधीजी के अवसान के पश्चात हुआ पंडित नेहरू और सरदार का पत्र-व्यवहार बताता है।"
brazil-nut tree,ब्राजील
Activities involving building or repairing something,कोई संरचना तैयार करने या उसकी मरम्मत करने से संबंधित गतिविधि
"Free Platinum Debit Card with cash withdrawal limit of Rs. 50, 000 / - and POS limit of Rs. 1 Lakh",गैर कमीशन प्राप्त अधिकारी कमीशन प्राप्त अधिकारियों के निचले रैंक के कार्मिक
Performance Highlights for the Nine Months Ended 31st December 2014,31 दिसंबर 2014 को समाप्त नौ महीनों के लिए कार्यनिष्पादन की विशेषताएं
dining,रात्रि-भोजन ग्रहण
One-fifth of our countrymen still remain below poverty line.,हमारे देशवासियों का पांचवां हिस्सा अभी तक गरीबी रेखा से नीचे बना हुआ है।
panda,पांडा रीछ
Relating to less intense or acute or active.,कम तीव्रता से संबंधित या कम तीव्र या कम सक्रिय.
B. V. Karanth,बी. वी. कारंत
"All in the heavens and the earth prostrate themselves before God, either of their own free will or by force, just as do their shadows in the mornings and evenings.",और आसमानों और ज़मीन में (मख़लूक़ात से) जो कोई भी है खुशी से या ज़बरदस्ती सब (अल्लाह के आगे सर बसजूद हैं और (इसी तरह) उनके साए भी सुबह व शाम (सजदा करते हैं) (15) (सजदा)
This only highlights the growth potential of this sector in the coming years,इससे आने वाले वर्षों में इसे क्षेत्र की वृद्धि संभाव्याता की एक झलक मात्र मिलती है।
Supermarkets: - are large scale retail shops operating at lower costs.,सुपर मार्किट:-अपेक्षाकृत कम लागत पर कार्य कर रही बड़ी खुदरा दुकानें होती हैं।
Some families started buying water to drink.,कुछ परिवारों ने पीने का पानी खरीदना शुरू कर दिया।
Clip Rectangle,चतुर्भुज को क्लिप करें
attribution,अध्यारोप
We must embrace the spirit of these guiding words as we pursue our individual goals.,हमें अपने-अपने लक्ष्यों की प्राप्ति का प्रयास करते हुए इन प्रेरक वचनों को अपनाना चाहिए।
"To Gandh - iji 's letter, the Viceroy gave terse reply regretting that he desired to defy the law.",गांधी जी के पत्र के जवाब में वाइसराय ने कानून तोड़ने के उनके नेताजी सुभाष चन्द्र बोस इरादे पर बड़ी रुखाई से अफसोस भर जाहिर किया था।
Uammayado Htitsahith the term often used to embrace Islam was the,उम्मयदों के कार्यकाल में इस्लाम कबूल करने वाले को अक्सर हतोत्साहित किया जाता था।
severe; having acerbity,तीखा; तीखेपन के साथ
KTabEdit tabulature,Comment
Call,आह्वान करना
grantor,अनुदानदाता
Search,ढूंढें
Aviation,विमानन
found on,पर आधारित
Digital Signature,हस्ताक्षर संपादित करें
Index generation,सूची बनाएँName
"formed by a socket cell, which connects posteriorly to a long goblet shaped sheath ceil.","सॉकेट पेशी से बना, जो लंबे गोब्लेट आकार के कोष आवरण से पिछे से जुड़ा होता है।"
Name in use,प्रयोग में नाम
"Now that we know the use of steam and electricity, we should be able to use them on due occasion and after we have learnt to avoid WHICH WAY LIES HOPE? industrialism.","चूंकि हम भाप और बिजली का उपयोंग जानते है, इसलिए उचित अवसर आने पर तथा उद्योगवाद बचना सीख जाने पर हमें उनका उपयोग करने योग्य बन जाना चाहिए।"
In a synthetic Yoga all powers will be combined and included in the transmuting instrumentation.,पर समन्वयात्मक योग में सभी शक्तियों करणों को एकत्र कर रूपान्तरकारी साधन-सामग्री में सम्मिलित कर लिया जायेगा।
musical instrument,वादित्र
Track List Editor...,सूची संपादक ट्रैक करें...
Azygos,अयुग्म
Unknown (% s),अज्ञात (% s)
my mental illness,बीमारी को नकार सकता था
Web Log,वेब लॉग
"However, in case of exit due to death, Subscriber need not be IRA Compliant.","हालांकि, अभिदाता की मृत्यु होने पर निकास होने पर, अभिदाताको आईआरए अनुपालनकर्ता बनने की आवश्यकता नहीं होती है।"
Today Brazil is one of the front ranking economies and more than 20 million Brazilians have been lifted out of acute poverty due to these innovative and well administered programs.,आज ब्राजील एक अग्रणी अर्थव्यवस्था है और इन नवान्वेषी और सुसंचालित कार्यक्रमों के द्वारा 20 मिलियन से अधिक ब्राजीलवासियों को घोर निर्धनता से ऊपर उठाया गया है।
"Under this scheme, NRIs and PIOs are eligible to open NRE Accounts with authorized banks in India.",इस योजना के तहत अनिवासी भारतीयों और भारतीय मूल के व्यभक्तियों को भारत के अधिकृत बैंकों में एन आर ई खाता खोलने की पात्रता है।
"Those earlier biographical works were the precursors of the Benagali biographies of the Master by Krishnadasa Kaviraja, Vrindavanadasa, Lochanadasa, Jayananda and others.","ये चरितात्मक कृतियां कृष्णदास कविराज, वृंदावनदास, लोचनदास, जयानंद और दूसरों द्वारा लिखे गये बांग्ला भाषा की गुरू की जीवनियों की पूर्ववर्ती थीं।"
Thirty Meter Telescope,तीस मीटर टेलीस्कोप
unpick,निकलना
Steve Ballmer,स्टीव बाल्मर
banyan tree,बनयान ट्री
daughter in law,पुत्र वधू
It was a complete justification of the work of Asutosh.,यह आशुतोष के द्वारा किया गये कार्यों का पूरा समर्थन था।
H. P. S. Ahluwalia,हरि पाल सिंह अहलूवालिया
A fast bowler needs physical strength and stamina; a slow bowler relies mainly on great accuracy.,तेज़ गेंदबाज के लिए शारीरिक शक़्ति और दम-खम दोनों का होना ज़रूरी है जबकि धीमी गेंद फेंकनेवाला केवल दम-खम से अपना काम चला लेता है.
"Shortages of food or water there may be at times, but of air never.","अन्न और पानी की तंगी कभी-कभी पैदा हो सकती है, हवा की कभी नहीं।"
NPER (0. 1; - 100; 1000) equals 11,NPER (0.1;-100; 1000) बराबर हैः 11
"NRIs can deposit money in the country under the Non Resident External Rupee account scheme, Non Resident Ordinary Rupee account scheme and Foreign Currency Non Resident account Banks scheme.","अप्रवासी भारतीय, अप्रवासी बाह्य रुपया खाता योजना, अप्रवासी साधारण रुपया खाता योजना तथा विदेशी मुद्रा अप्रवासी खाता बैंक योजना के अंतर्गत धन जमा करवा सकते हैं।"
Support the modernists first. Support secularists on a case - by - case basis. Back the traditionalists tactically against the fundamentalists. Consistently oppose the fundamentalists.,सर्वप्रथम आधुनिकतावादियों का समर्थन करना. सेकुलरवादियों को मामले की गुणवत्ता के आधार पर समर्थन देना. कट्टरपंथियों के विरुद्ध रणनीतिक ढ़ंग से परंपरावादियों को समर्थन देना. कट्टरपंथियों का विरोध लगातार करना.
"These programmes help establish Krishi Vigyan Kendras (KVKs) which are responsible for training, research and demonstration of new farming technologies at the local level.","ये कार्यक्रम कृषि विज्ञान केंद्रों की स्थापना में सहायता प्रदान करते हैं जो स्थानीय स्तर पर नई कृषि पौद्योगिकियों के प्रशिक्षण, अनुसंधान एवं प्रदर्शन के लिए उत्तरदायी हैं।"
king,नृदेव
kneel,घुटना टेक
"There are many other similar documents which are circulating and if we started taking notice of some and not of others, the feeling would naturally be widespread that those, of which we did not take any notice, are authentic.","ऐसे अनेक अन्य परिपत्र भी है, जिनका प्रचार किया जा रहा है, और यदि हम कुछ पर ध्यान दें और दूसरों पर ध्यान नही दें, तो व्यापक भावना स्वाभाविक रूप से यह बनेगी कि जिन परिपत्रों पर हम कोई ध्यान नहीं देते वे सब अधिकृत है।"
Please contribute extra in Insurance Fund.,बीमा निधि में अतिरिक्त योगदान दें।
. It was a widespread movement of multifaceted dimensions.,यह एक बड़ा आंदोलन था जिसके बहुपक्षीय आयाम थे।
Full Details,Permissions
Start date is wrong,प्रारंभ तिथि गलत है
The candidate will have to answer 50 questions in 90 minutes,परीक्षार्थियों को 90 मिनट में 50 प्रश्नों के उत्तर देने होंगे।
Mithun Chakraborty,मिथुन चक्रवर्ती
Category: Celestial coordinate system,श्रेणीःखगोलीय निर्देशांक प्रणाली
"Korea succeeded, North Korea didn 't.",कोरिया सफ़ल हुआ। उत्तरी कोरिया नहीं हुआ।
Usbek,उजबेकी
"The one who truly understands My transcendental birth and activities, is not born again after leaving this body and attains My abode. ”","वह जो वास्तविकता में मेरे उत्कृष्ट जन्म और गतिविधियों को समझता है, वह शरीर त्यागने के बाद पुनः जन्म नहीं लेता और मेरे धाम को प्राप्त होता है."
We are also working towards early finalization of the Joint Study Group on the CECA between India and the Eurasian Economic Union.,"हम, भारत और यूरेशियन इकनोमिक यूनियन के बीच सीईसीए पर संयुक्त अध्ययन समूह के शीघ्र अंतिम रूप की दिशा में भी कार्य कर रहे हैं।"
"He gave Marathi criticism an independent position, different from newspaper reviews, and raised its prestige.",उन्होंने मराठी समीक्षा को सर्वसामान्य समाचारपत्रीय समीक्षा से भिन्न स्थान प्रदान किया तथा उसकी कोटि को उन्नत किया।
Comedy,कॉमेडी
"Section - 22, Income-tax Act, 1961-2018","धारा - 22, आय-कर अधिनियम, 1961-2018"
"The priority with which this process is being run. Ranges from 19 (very nice, least priority) to - 19 (top priority).","प्राथमिकता जिसमें यह प्रक्रिया चलेगी. इसकी सीमा १९ (बहुत ही नाइस, सबसे कम प्राथमिकता) से-१९ (सर्वोच्च प्राथमिकता) होती है"
Zenith,शिरोबिंदु
Baud Barf,बॉड बार्फ
Fiscal activism alone will not bring desired results.,अकेले राजकोषीय सक्रियतावाद से वांछित परिणाम प्राप्त किए जाने संभव नहीं हैं।
Delete Mail,डाक मिटाएँ
wet nurse,धाय माँ
Vitreous enamel,मीनाकारी
Vivek Jeewan (Viveka 's Life) (Blog in Hindi),विवेक जीवन (हिन्दी ब्लाग)
"And We said, “Take a broom in your hand and strike her with it, and do not break your vow”; We indeed found him patiently enduring; what an excellent bondman! He is indeed most inclined.","""और अपने हाथ में तिनकों का एक मुट्ठा ले और उससे मार और अपनी क़सम न तोड़।"" निश्चय ही हमने उसे धैर्यवान पाया, क्या ही अच्छा बन्दा! निस्संदेह वह बड़ा ही रुजू रहनेवाला था"
divine,देवीय
Palpebral,"नेत्रच्छदीय, वर्त्मीय, पक्ष्मीय, पलकों सम्बन्धी"
Its colorful gompas attract the devout Buddhists from far and away.,यहां के रंग बिरंगे गोमपा बौद्ध श्रद्धालुओ को दूर दूर से आकर्षित करते हैं।
jade,उकताना
He also learnt from him the details about the life of Jesus Christ.,यीशू मसीह के सम्बन्ध में भी उससे ज्ञान प्राप्त करते।
Cannot copy or move messages into a Virtual Folder,आभासी फ़ोल्डर में संदेशों को कापी या प्रतिस्थापित नहीं कर सकता है
I wish all those associated with this University the very best for the future.,मैं इस विश्वविद्यालय से जुड़े सभी लोगों को भविष्य के लिए शुभकामनाएं देता हूं।
"Kerala’s natural beauty has made it among the most popular destinations, drawing people from all over the world.",केरल की प्राकृतिक सुंदरता ने इसे विश्व भर के लोगों को आकर्षित कर सबसे लोकप्रिय स्थलों में से एक बना दिया है।
The President said that India wants to combine its economic progress with clean technology.,राष्ट्रपति ने कहा कि भारत अपनी आर्थिक प्रगति को स्वच्छ प्रौद्योगिकी के साथ जोड़ना चाहता है।
intercrossed,वर्ण संकर
elation,मौज
Priority 1 - 3,प्रधानता १-३
uncertainty,शंका
Frictional unemployment exists because both jobs and workers are heterogeneous.,कार्य और कर्मचारीयों के असमान्य होने के कारण अस्थाई बेरोजगारी है।
Methyl ester of todomatuic acid derived from the balsam fir and can stifle insect reproduction and growth.,टोडोमैटिक अम्ल का मिथाइल इस्टर जिसे बालसम के रोएं से व्युत्पन्न किया जाता है और यह कीटों के प्रजनन और वृद्धि को दबा सकता है
The National Education Policy is a major movement to bring about fundamental changes in the entire education set-up from pre-nursery to PhD.,हमारे सक्षम युवाओं को अधिक प्रतिस्पर्धी बनाने के लिए बहु-आयामी दृष्टिकोण पर ध्यान केंद्रित किया जा रहा है।
as far as practicable,यावत्साध्य; यथासाध्य
I strongly condemn the perpetrators of the incident.,मैं इस घटना को अंजाम देने वाले अपराधियों की कड़ी निंदा करता हूं।
Human beings eating these large fishes thus acquire lethal dosages of mercury on continuous consumption.,लगातार इन बड़ी मछलियों को खाने वाले मनुष्य में पारे की मात्रा मारक सीमा तक पहुंच जाती है।
mongoose,सर्पहा
", Stereo Width =%. 0f%%,",स्टिरियो विस्तार =%. 0f%%
Journal is the first stage in audit,जर्नल लेखाकरण में प्रारम्भिक बही होती है।
It was in his restless search for a soul - satisfying faith that. he discovered Theosophy.,आत्मा को तृप्त करने वाली आस्था की इस बेचैन खोज का अनत हुआ डॉ० ऐनी बेसेन्ट की थियोसोफी में।
To collaborate with institutions/organizations engaged in similar activities in India and abroad with a view to furthering the aims and objects of the Institution.,संस्था के उद्देश्य और लक्ष्य को ध्यान में रखते हुए समान क्रिया-कलाप वाली भारत और सुदूर के संस्थानों/संस्थाओं के साथ संयुक्त सहयोग।
Daniela Hantuchová,डेनियला हंचुकोवा
Reserve bank of India remittances means a process to send money from reserve bank to another bank or place.,"रिजर्व बैंक आफ इंडिया प्रेषण का अर्थ, रिजर्व बैंक से राशि को किसी अन्य बैंक या स्थान पर भेजने की प्रक्रिया से होता है।"
Bank has opened a separate wing for corporate finance.,बैंक द्वारा कारपोरेट वित्त के लिए अलग से एक इकाई बनाई गई है।
"Temporarily disable conversion personalization, history - based suggestions and user dictionary","रूपांतरण वैयक्तिकरण, इतिहास-आधारित सुझाव और उपयोगकर्ता शब्दकोश अस्थायी रूप से अक्षम करें"
but that won 't change the energy use very much.,लेकिन यह ऊर्जा का उपयोग उतना नहीं बदलेगी।
"If you are seduced after you have received the authoritative guidance, know that God is Majestic and Wise.",फिर जब तुम्हारे पास रौशन दलीले आ चुकी उसके बाद भी डगमगा गए तो अच्छी तरह समझ लो कि ख़ुदा (हर तरह) ग़ालिब और तदबीर वाला है
The doses vary from 25 g. to 50 g.,इसे 25 ग्राम से 50 ग्राम तक की मात्रा में लिया जा सकता है।
Soon the lion was close enough to Ganapathy 's village to smell its scents and hear its sounds.,शीघ्र ही शेर गणपति के गांव के काफी नजदीक पहुंच गया।
French Open,फ्रेंच ओपन
But that is not fair.,लेकिन वस्तुतः यह हमारी भूल है।
The bailee of goods was summoned by the arbitrator for resolution of the dispute.,विवाद के निपटारे के लिए पंच द्वारा माल की उपनिहिती को बुलाया गया।
"In the last week of December Jawaharlal Nehru arrived for personal consultation, accompanied by Acharya Kripalani, then Congress President.",दिसंबर के आखिर सप्ताह में तत्कालीन कांग्रेस अध्यक्ष आचार्य कृपलानी को साथ लेकर जवाहरलाल नेहरु खुद ही वहां सलाह-मशविरे के लिए पहुंच गए।
Path:,पथः
"(28BB) ""insurer"" means an insurer, being an Indian insurance company, as defined under clause (7A) of section 2 of the Insurance Act, 1938 (4 of 1938), which has been granted a certificate of registration under section 3 of that Act;","(28खख) ""बीमाकर्ता"" से ऐसा बीमाकर्ता अभिप्रेत है जो बीमा अधिनियम, 1938 (1938 का 4) की धारा 2 के खण्ड (7क) में यथापरिभाषित भारतीय बीमा कंपनी है, जिसे उस अधिनियम की धारा 3 के अधीन रजिस्ट्रेशन प्रमाणपत्र दिया गया है;"
Endemol,एंडेमोल
Palm OS,पाम ओऍस
This can be done if we first commune ourselves with the God revealed in History and reverently watch the organic growth of Divinity in mankind.,यह तभी हो सकता है यदि हम पहले इतिहास में वर्णित ईश्वर में ध्यान लगाए और मानवता में देवत्व के सांगठिक विकास को श्रद्धा से देखें।
Class: Google,श्रेणीःगूगल
womb,योनि
"allowance, project",परियोजना भत्ता
It is also a tragic fact of history that most of the Hindu and Muslim scholars rarely wrote in their mother - tongue and preferred to write in Hindi or Urdu.,यह भी इतिहास का एक दुखांत तथ्य हो कि अधिकांश हिंदू और मुस्लिम विद्वान अपनी मातृभाषा में बहुत ही कम लिखते थे और वे हिंदी या उर्दू में लिखने को प्राथमिकता देते थे।
"Soon after, Swadesh got up and walked away.",थोडी देर में स्वदेश उठकर चला गया।
"In November 1927, two years before it was due, the appointment of a Commission was announced.","नवंबर, 1927 में, निर्धारित समय से दो वर्ष पूर्व ही, उक़्त कमीशन की नियुक्ति की घोषणा कर दी गई."
It is said the Negroes cannot make anything square in shape.,ऐसा माना जाता है कि वे लोग कोई भी चौकोन चीज नहीं बना सकते।
"Actually all cars, if you look up in consumer reports or wherever they give stats on different cars","अगर तुम देखो में उपभोक्ता रिपोर्ट या जहाँ भी वे अलग कारों पर आँकड़े दे वास्तव में सभी कारों,"
He Went to Moscow as an ordinary delegate.,वह साधारण प्रतिनिधि के रूप में मास्को गए थे.
capable,अलं
We shall summon the guards of Hell.,(ऐ रसूल) देखो हरगिज़ उनका कहना न मानना
"Then leave them, till they encounter their day wherein they shall be thunderstruck,",तो (ऐ रसूल) तुम इनको इनकी हालत पर छोड़ दो यहाँ तक कि वह जिसमें ये बेहोश हो जाएँगे
Noble ideals of heroism have been enunciated by Shah in this' Sur '.,शाह लतीफ ने इस 'सुर' में वीर्य भव्य आदर्शों की स्थापना की है।
Waiting for the Hindi language to become the main language and at the end waiting for long time.,हिन्दी को भारत की राजभाषा बनने में देरी करना व अन्त में अनन्त काल के लिये स्थगन
"Maulana was a man of great learning, who had mastered the old classics and yet was blessed with modern scientific temper.","मौलाना वो महान शख्सियत थे, जो पुराने क्लासिक्स के साथ ही साथ आधुनिक वैज्ञानिक सोच पर भी पकड़ रखते थे। उनमें सीखने की ललक थी।"
suit,मामला
"Original interactive FLASH Animations from John de Pillis illustrating Lorentz and Galilean frames, Train and Tunnel Paradox, the Twin Paradox, Wave Propagation, Clock Synchronization, etc.","जॉन पिल्लिस द्वारा लोरेन्ज व गैलिलीय निर्देश तंत्र, ट्रेन व सुरंग विरोधाभास, तरंग संचरण, घड़ी तुल्यकालन आदि के दृष्टान्त (ओरिजिनल इंटरैक्टिव फ्लैश एनिमेशन)"
Documentation,दस्तावेज़ीकरण
We were not threatening anybody.,हम किसी को नहीं धमका रहे थे।
Coordination Matters :,समन्वय मामले:
"Under the circumstances, it is a standing challenge to him to preserve the unity of his spirit and to establish his meaningful relation with contemporary society.",इन परिस्थियो में उसके लिए अपनी भावना की एकता को सुरक्षित रखना तथा समकालीन समाज के साथ सार्थक सम्बनध स्थापित किया जाता हैं।
"Speaking on the occasion, the President expressed hope that the Indian Diaspora spread across the world will remain foremost emissaries of the unfolding Indian story.","इस अवसर पर बोलते हुए, राष्ट्रपति ने उम्मीद जताई कि दुनिया भर में फैले हुए भारतीय प्रवासी अब तक की अनकही भारतीय कहानी के प्रमुख दूत बने रहेंगे।"
Magneto - optical drive,चुंबकीय ऑप्टिकल ड्राइव
"Legend also says that the most malevolent djinns are locked up in a dungeon beneath the steps of the Jami Masjid, which is a mosque inside the fort.",दंतकथा के अनुसार सबसे अधिक दुष्ट जिन्नाद किले के अंदर बनी जामी मस्जिद की सीढियों के निचे बने तहखाने में बंद हैं।
Dutch people,नीदरलैंड-वासी
Mark Thread as & To - do,à¤«à¤¼à¤¾à¤à¤² à¤à¥à¤¨à¥à¤...
"The hero of the play, Sutosom is full of self - confidence and capable of any kind of sacrifice: 'If I can sacrifice myself and save others, there is no greater happiness for me.","नाटक का नायक सुतसोम गहरे आत्मविश्वास से परिचालित है त्याग कर सकता हैः यदि मै अपनी बलि देकर तुम्हारे अन्य बदिंयो की रक्षा कर सका, तो मेरे लिए सतोंष की इससे बढकर और बात नही हो सकती।"
